region_id,year,scientific_name,species_group,red_list_category
35,2013,Somateria mollissima,Birds,VU - Vulnerable
36,2007,Clupea harengus,Fish and Lamprey,EN - Endangered
36,2013,Clupea harengus,Fish and Lamprey,LC - Least Concern
36,2013,Perca fluviatilis,Fish and Lamprey,LC - Least Concern
36,2007,Perca fluviatilis,Fish and Lamprey,LC - Least Concern
36,2013,Pusa hispida,Mammals,VU - Vulnerable
36,2013,Phocoena phocoena (Baltic Sea Sub-population),Mammals,CR - Critically Endangered
36,2013,Haliaeetus albicilla,Birds,LC - Least Concern
36,2013,Somateria mollissima,Birds,VU - Vulnerable
37,2007,Clupea harengus,Fish and Lamprey,EN - Endangered
37,2013,Clupea harengus,Fish and Lamprey,LC - Least Concern
37,2013,Perca fluviatilis,Fish and Lamprey,LC - Least Concern
37,2007,Perca fluviatilis,Fish and Lamprey,LC - Least Concern
37,2007,Salmo salar,Fish and Lamprey,EN - Endangered
37,2013,Salmo salar,Fish and Lamprey,VU - Vulnerable
37,2013,Pusa hispida,Mammals,VU - Vulnerable
37,2013,Phocoena phocoena (Baltic Sea Sub-population),Mammals,CR - Critically Endangered
37,2013,Haliaeetus albicilla,Birds,LC - Least Concern
37,2013,Somateria mollissima,Birds,VU - Vulnerable
38,2007,Clupea harengus,Fish and Lamprey,EN - Endangered
38,2013,Clupea harengus,Fish and Lamprey,LC - Least Concern
38,2013,Perca fluviatilis,Fish and Lamprey,LC - Least Concern
38,2007,Perca fluviatilis,Fish and Lamprey,LC - Least Concern
38,2007,Salmo salar,Fish and Lamprey,EN - Endangered
38,2013,Salmo salar,Fish and Lamprey,VU - Vulnerable
38,2013,Pusa hispida,Mammals,VU - Vulnerable
38,2013,Phocoena phocoena (Baltic Sea Sub-population),Mammals,CR - Critically Endangered
38,2013,Haliaeetus albicilla,Birds,LC - Least Concern
38,2013,Somateria mollissima,Birds,VU - Vulnerable
39,2007,Clupea harengus,Fish and Lamprey,EN - Endangered
39,2013,Clupea harengus,Fish and Lamprey,LC - Least Concern
39,2013,Perca fluviatilis,Fish and Lamprey,LC - Least Concern
39,2007,Perca fluviatilis,Fish and Lamprey,LC - Least Concern
39,2007,Salmo salar,Fish and Lamprey,EN - Endangered
39,2013,Salmo salar,Fish and Lamprey,VU - Vulnerable
39,2013,Pusa hispida,Mammals,VU - Vulnerable
39,2013,Phocoena phocoena (Baltic Sea Sub-population),Mammals,CR - Critically Endangered
39,2013,Haliaeetus albicilla,Birds,LC - Least Concern
39,2013,Somateria mollissima,Birds,VU - Vulnerable
40,2007,Clupea harengus,Fish and Lamprey,EN - Endangered
40,2013,Clupea harengus,Fish and Lamprey,LC - Least Concern
40,2013,Perca fluviatilis,Fish and Lamprey,LC - Least Concern
40,2007,Perca fluviatilis,Fish and Lamprey,LC - Least Concern
40,2007,Salmo salar,Fish and Lamprey,EN - Endangered
40,2013,Salmo salar,Fish and Lamprey,VU - Vulnerable
40,2013,Pusa hispida,Mammals,VU - Vulnerable
40,2013,Phocoena phocoena (Baltic Sea Sub-population),Mammals,CR - Critically Endangered
40,2013,Haliaeetus albicilla,Birds,LC - Least Concern
40,2013,Somateria mollissima,Birds,VU - Vulnerable
41,2007,Clupea harengus,Fish and Lamprey,EN - Endangered
41,2013,Clupea harengus,Fish and Lamprey,LC - Least Concern
41,2013,Perca fluviatilis,Fish and Lamprey,LC - Least Concern
41,2007,Perca fluviatilis,Fish and Lamprey,LC - Least Concern
41,2007,Salmo salar,Fish and Lamprey,EN - Endangered
41,2013,Salmo salar,Fish and Lamprey,VU - Vulnerable
41,2013,Pusa hispida,Mammals,VU - Vulnerable
41,2013,Phocoena phocoena (Baltic Sea Sub-population),Mammals,CR - Critically Endangered
41,2013,Haliaeetus albicilla,Birds,LC - Least Concern
41,2013,Somateria mollissima,Birds,VU - Vulnerable
42,2007,Clupea harengus,Fish and Lamprey,EN - Endangered
42,2013,Clupea harengus,Fish and Lamprey,LC - Least Concern
42,2013,Perca fluviatilis,Fish and Lamprey,LC - Least Concern
42,2007,Perca fluviatilis,Fish and Lamprey,LC - Least Concern
42,2007,Salmo salar,Fish and Lamprey,EN - Endangered
42,2013,Salmo salar,Fish and Lamprey,VU - Vulnerable
42,2013,Pusa hispida,Mammals,VU - Vulnerable
42,2013,Phocoena phocoena (Baltic Sea Sub-population),Mammals,CR - Critically Endangered
42,2013,Haliaeetus albicilla,Birds,LC - Least Concern
42,2013,Somateria mollissima,Birds,VU - Vulnerable
